message,sentiment
I have no particular interest in this,neutral
I'm going to the grocery store after work to buy some milk and bread 🛍️🍞,neutral
I really enjoyed the movie,positive
I'm so happy to have supportive and loving friends! ❤️,positive
I just got into a fight with my partner and it's not going well 😞,negative
The beach was average,neutral
I just received a promotion at work! 🎉🎊💼,positive
I'm watching a movie and eating popcorn right now 🍿🎥,neutral
I hate the way I look in this outfit... 😒,negative
I didn't enjoy this at all,negative
The show was amazing,positive
The scenery here is unremarkable,neutral
I'm feeling a bit overwhelmed with everything going on 😩,neutral
I'm so disappointed in myself for making that mistake 😞,negative
I'm indifferent to this,neutral
This movie was not worth watching,negative
I'm just trying to stay positive 😌,neutral
I'm so grateful for my health and well-being 🏥💪,positive
I'm so lucky to have such a supportive and loving partner 💑💕,positive
I'm feeling a bit lost right now 🌪️,neutral
The service at this restaurant was mediocre,neutral
I'm not sure if I'm ready to make that decision 🤷‍♂️,neutral
I'm not satisfied with this product,negative
I'm feeling so fulfilled by my work and accomplishments 👍,positive
I need to clean my apartment before my parents come to visit this weekend 🧹🏠,neutral
The traffic is heavy,negative
I had an amazing date last night 😍,positive
I'm not sure if I'm making the right decision 🤔,neutral
I love learning new things and expanding my knowledge 📚🤓,positive
The book was average,neutral
I'm really hungry 🍔,neutral
I'm not really sure what you mean 🤷‍♀️,neutral
Can we reschedule our meeting? 📅,neutral
I'm so overwhelmed with everything on my plate 😫,negative
I hate feeling so powerless and helpless 😔,negative
I'm feeling a bit anxious 😬,neutral
The performance was outstanding,positive
I'm very unhappy with this product,negative
The game was average,neutral
I can't wait to come back here,positive
I'm not sure if I'm up for that challenge 🤷‍♂️,neutral
I regret wasting my money on this product,negative
I don't care about this,neutral
I'm not sure what to wear today 👗,neutral
I tried a new restaurant and got food poisoning. now I'm stuck in bed 😷🤢,negative
I'm neutral on this,neutral
I have a dentist appointment tomorrow at 2pm 🦷😬,neutral
This restaurant has amazing food,positive
This phone is disappointing,negative
This is an ordinary product,neutral
I just got into a fight with my best friend 😔💔,negative
I don't have strong feelings about this,neutral
I'm not sure if I'm ready to take that risk 🤔,neutral
The staff at the store were so helpful,positive
This software is average,neutral
I'm so stressed out about everything going on in my life 😞,negative
The performance was excellent,positive
I'm so disappointed with how things turned out 😔,negative
I'm on the fence about this,neutral
I'm just trying to find my way 🗺️,neutral
I'm so glad I made this purchase,positive
I just found out I didn't get the job I applied for 😢,negative
The food was terrible and overpriced,negative
I'm so grateful for my health and fitness journey - I've lost 20 pounds! 🏋️‍♀️🥗,positive
The hotel was comfortable,positive
I'm not interested in this topic,neutral
This is a regular product,neutral
I'm not sure if I'm ready for this 🙈,neutral
This software is very complicated,negative
The service at this salon was top-notch,positive
This software is ordinary,neutral
I enjoyed every moment of my vacation,positive
I'm so grateful for the people in my life who support me 💕,positive
The beach was dirty,negative
I don't care about this subject,neutral
The car is average,neutral
I'm really enjoying this book,positive
This movie was regular,neutral
I'm feeling a bit lost without my phone 📱,neutral
I just went through a breakup and it hurts so much 😢💔,negative
I just got a new puppy and he's the cutest thing ever! 🐶❤️,positive
I'm just taking things one step at a time 🚶‍♂️,neutral
I'm so frustrated with how my day is going 😒,negative
I'm just trying to stay focused 🧐,neutral
The view from here is unremarkable,neutral
I'm just trying to keep things in perspective 🌅,neutral
I have no strong feelings about this,neutral
I'm sorry. I can't make it to the party 🎉,neutral
I'm very pleased with this,positive
This movie was mediocre,neutral
This software is frustrating to use,negative
I hate dealing with rude and disrespectful people 🤬,negative
I'm just hanging out with my family today 👨‍👩‍👧‍👦,neutral
I'm feeling so inspired by the people around me 💡,positive
I can't believe I failed that exam 😭,negative
I'm not sure what to make for dinner 🤷‍♀️,neutral
I just won first place in a competition! 🥇🏆,positive
I'm feeling so content with my life right now 😊,positive
The service at this spa was amazing,positive
I just completed a difficult task and it feels amazing! 😎💪,positive
I'm feeling so lucky to have such supportive people in my life 🍀,positive
I'm not sure what to do next 🤷‍♂️,neutral
The hike was invigorating,positive
I had a bad experience,negative
I'm feeling a bit bored with my routine 🥱,neutral
I'm loving this cozy evening in with a good movie 🍿,positive
I'm feeling so motivated to tackle my to-do list today 📝,positive
I'm feeling a bit bored 😐,neutral
The service at the hotel was outstanding,positive
The traffic is unbearable,negative
I just received a thoughtful gift from someone special 🎁😍,positive
This company is standard,neutral
The beach was beautiful,positive
I'm feeling a bit uncertain about the future 🤨,neutral
I wouldn't recommend this,negative
The hotel amenities were great,positive
The scenery here is unimpressive,neutral
The hotel was average,neutral
I have to work on Saturday this week and I was planning to go to a concert 😩🎶,negative
The service at this restaurant was okay,neutral
The scenery here is standard,neutral
I'm not sure if I want to pursue this,neutral
This movie was disappointing,negative
I'm so proud of my accomplishments this year 🎓,positive
I'm feeling a bit stressed out 😫,neutral
I'm feeling a bit restless today 🤫,neutral
The hotel was standard,neutral
I'm grateful for my supportive community and the positive energy they bring! 💕🙏,positive
I'm loving this new music I discovered 🎶,positive
I don't know if I have time for that 🕑,neutral
I have no strong opinion on this,neutral
My internet has been down all day and I can't get any work done 🖥️🤬,negative
The customer service was excellent,positive
I just got a raise and my salary is now $75000! 🎉💰,positive
I have mixed feelings about this,neutral
I'm not happy with this product,negative
I'm so happy to be surrounded by positivity and good vibes! 😊✨,positive
I'm loving spending time with my significant other ❤️,positive
The car is expensive,negative
I'm so grateful for the opportunities I have in life 🙌,positive
The weather is terrible today,negative
This company is horrible,negative
The game was exciting,positive
This phone is fantastic,positive
This phone is not very user-friendly,negative
The food was regular,neutral
The performance was good,neutral
I love my new job and the people I work with! 💼😍,positive
I have no strong feelings about this,neutral
The customer service was terrible,negative
I'm indifferent to this,neutral
The movie was a waste of time,negative
The movie was not enjoyable,negative
The book was boring,negative
The weather is normal today,neutral
I'm so excited for the concert tonight! 🎤🎶,positive
I love trying new things and stepping out of my comfort zone! 🌟,positive
The beach was unremarkable,neutral
I just had a falling out with a close friend 😞,negative
I don't have strong feelings either way,neutral
The noise level is tolerable,neutral
The performance was satisfactory,neutral
I just achieved a major milestone in my personal life! 🌟🎯,positive
I'm thinking about going for a run 🏃‍♀️,neutral
I'm so tired of dealing with drama and negativity 😒,negative
The service was excellent,positive
I'm so frustrated with myself for not being able to do better 😤,negative
This phone is amazing,positive
I'm so excited to be going to Disneyland tomorrow! 🎢🎠,positive
I'm so frustrated with my lack of progress 😞,negative
This company is average,neutral
I'm just trying to figure things out 🔍,neutral
The hotel was great,positive
I'm trying to stay positive 😊,neutral
I'm not sure if I should say anything 🤫,neutral
The speaker was average,neutral
This phone is standard,neutral
I had a bad experience,negative
The car is average,neutral
I just finished a painting that I'm really proud of! 🎨😊,positive
I just got some bad news and I'm feeling down 😞,negative
I'm enjoying this relaxing day at home 🏡,positive
I enjoyed this very much,positive
The game was standard,neutral
I just got a promotion at work! 🎉🎊,positive
I just got into an argument with a family member and it's not going well 😔,negative
The performance was average,neutral
I'm not sure what to say 🤷‍♀️,neutral
I'm dissatisfied with this product,negative
The game was challenging,positive
The hotel room was comfortable,positive
The food was average,neutral
The museum was boring,negative
I'm not sure what to do with my spare time 🤷‍♀️,neutral
The hike was exhausting,negative
The speaker was very engaging,positive
I'm feeling a bit stressed out today 😩,neutral
The performance was typical,neutral
Hey.. what's up? 😀,neutral
The speaker was average,neutral
I'm unsure about this,neutral
This is an excellent company to work for,positive
I need to buy 5 oranges for my recipe today 🍊,neutral
I have no preference,neutral
This company is regular,neutral
I'm feeling a bit distracted today 🤯,neutral
I had a great experience,positive
I'm not sure what to do with my weekend 🤷‍♀️,neutral
The game was frustrating,negative
I'm not sure what to do with my free time 🤷‍♂️,neutral
I'm so disappointed with myself for making a mistake 😔,negative
The movie was terrible,negative
I don't really care about this topic,neutral
I'm so grateful for the beautiful weather today ☀️,positive
The service at this restaurant was poor,negative
I'm browsing the internet for ideas on how to decorate my apartment 🖥️🛋️,neutral
The hotel was noisy during the day,neutral
I'm doing laundry and folding my clothes right now 🧺👕,neutral
The weather is perfect today,positive
The food at the wedding was delicious,positive
Can you remind me of the details? 🤔,neutral
This software is difficult to use,negative
I'm in love with this place,positive
I regret buying this product,negative
I regret purchasing this product,negative
The service at this hotel was terrible,negative
I had a terrible day at work today 😞,negative
I'm not sure if I'm doing this right 🤨,neutral
I have mixed feelings about this,neutral
The service at this hotel was standard,neutral
The hotel room was dirty and cramped,negative
I'm in the middle of something. can I call you back later? 📱,neutral
I'm impressed with the quality of this product,positive
The hotel was average,neutral
I love seeing my favorite band live in concert! 🤘🎶,positive
I love trying new foods and flavors! 🍴😋,positive
I got into a car accident and my car is totaled 😔🚗,negative
The food was ordinary,neutral
I have no strong emotions about this,neutral
This software is a nightmare to use,negative
I'm just trying to stay focused on my goals 🎯,neutral
I just completed a challenging workout! 💪🏋️‍♂️,positive
This company is excellent,positive
I'm just enjoying some alone time 🧘‍♀️,neutral
The food was terrible,negative
I just completed a 5K run in 25 minutes! 🏃‍♀️💪,positive
This is a terrible product,negative
The scenery here is average,neutral
This product is overpriced,negative
I just got rejected by someone I really liked... 😢💔,negative
I'm feeling so proud of myself for accomplishing my goals 🏆,positive
I just got a surprise visit from an old friend! 😃,positive
I'm not really sure how to respond to that 🤷‍♂️,neutral
The food was outstanding,positive
It was nice meeting you! 👋,neutral
I'm not feeling very productive today 📉,neutral
I'm undecided on this,neutral
This book is a masterpiece,positive
The food at this restaurant was top-notch,positive
I'm feeling a bit out of my comfort zone 😬,neutral
This movie was ordinary,neutral
I'm undecided about this,neutral
I got a parking ticket while I was at the doctor's office. even though I parked in the designated spot 🚗🎫,negative
I love spending time with my significant other and creating new memories ❤️,positive
I just got a $500 ticket for parking in the wrong spot 😠🎫,negative
I just got some bad news and I don't know how to deal with it 😞,negative
The service at this hotel was okay,neutral
The service at this hotel was average,neutral
I love spending time with my pets 🐱🐶,positive
I hate the way people are treating me lately... 😒,negative
The food was average,neutral
I'm so happy to have a job I love and am passionate about 💼😊,positive
This software is regular,neutral
The hotel room was spacious and clean,positive
I'm really impressed with this company,positive
I just completed a marathon! 🏃‍♀️🏅,positive
The hotel was overpriced,negative
The museum was average,neutral
The traffic is typical for this time of day,neutral
I'm not sure if I'm in the mood for that 🤷‍♂️,neutral
I'm just trying to make the most of every day 🌞,neutral
I hate feeling so stressed and overwhelmed 😩,negative
I'm so tired 😴,neutral
This is the best phone I've ever owned,positive
The game was boring,negative
The speaker was inspiring,positive
I'm not sure if I want to do that 🤔,neutral
The traffic is moderate,neutral
I love spending time in nature 🌳🍂,positive
I'm not sure what to do 😕,neutral
I'm neutral on this,neutral
I'm grateful for the little things in life 🌻,positive
I'm not interested in this,neutral
I don't have an opinion on this,neutral
The scenery here is average,neutral
The movie was okay,neutral
The service at this hotel was average,neutral
I'm feeling so excited for the future 🔮,positive
I'm ambivalent about this,neutral
